address,zip,BuildingType,CalendarYear built,HeatingHeating,SnowflakeCooling,ParkingParking,HOAHOA,LotLot,Price Square FeetPrice/sqft,Rent,Mortgage fees per month,Mortgage fees per year,Walk Score,School Rank,Violent Crime,Property Crime
"6150 Thor Ave, Davenport, IA 52807",52807,Single Family Residence,2021,Natural Gas Forced Air,Central Air,,,13939,185,,1147,13767,4,41,4091,3827
"5303 Glen Oaks Way, West Des Moines, IA 50266",50266,TOWNHOUSE,2004,Forced air Gas,Central,2,390,2874,297,,1009,12112,0,12,,
"1726 468th Ave, Clinton, IA 52732",52732,Single Family Residence,1946,Propane,Central Air,,,8276,55,,128,1530,3,101,3827,3647
"River Woods Plat St #1 LOT 23, Booneville, IA 50038",50038,,,,,,,,,,,,0,,,
"501 5th St, Rippey, IA 50235",50235,Single Family Residence,1899,Gas Natural Gas,Window Unit(s),2,,,41,,117,1402,11,,,
"4550 Louie Ln, Central City, IA 52214",52214,Farm,,,,,,,,,1628,19532,4,,,
"2635 S Cleveland St, Sioux City, IA 51106",51106,Single Family Residence Residential,2001,Forced Air,Central Air,2,,5662,107,,550,6604,29,65,3647,3890
"506 C Ave, Armstrong, IA 50514",50514,Single Family Residence,1955,Forced Air,Central Air,1,,6969,65,,127,1527,16,,,
"1506 13th Ave SW, Cedar Rapids, IA 52404",52404,Single Family Residence,1954,Forced Air Gas,Central Air,1,,5227,155,,253,3034,39,106,3890,3336
"1145 McKimber St, Knoxville, IA 50138",50138,Unimproved Land,,,,,,,,,81,969,4,138,,
"107 Prairie St, Raymond, IA 50667",50667,Single Family Residence,1995,Forced Air Natural Gas,Ceiling Fan(s) Central Air,3,,14810,103,,457,5482,0,,,
"600 Oakland Ave, Council Bluffs, IA 51503",51503,SINGLE_FAMILY,1892,Forced air Gas,Central,,,16988,87,,744,8925,57,101,3336,5845
"10 E Lally St, Des Moines, IA 50315",50315,Single Family Residence,1900,Forced Air Gas Natural Gas,Central Air,3,,19166,169,,361,4332,55,21,5845,4091
"2101 Meadow Ct APT 902, Des Moines, IA 50320",50320,Townhouse,2004,Forced Air Gas Natural Gas,Central Air,2,160,,113,,329,3950,4,145,4091,4091
"206 N Locust St, Marcus, IA 51035",51035,Single Family Residence Residential,1889,Forced Air,Central Air,2,,5227,54,,181,2168,48,,,
"1800 Hughes Dr SW, Cedar Rapids, IA 52404",52404,Single Family Residence,2003,Forced Air Natural Gas,Central Air,3,,12632,134,,890,10684,18,106,4091,3336
"906 3rd St, Webster City, IA 50595",50595,Single Family Residence,1910,Forced Air,Central Air,,,6534,48,,149,1782,75,82,3336,1093
"1607 21st Avenue Pl, Coralville, IA 52241",52241,,,,,,,,,,,,55,11,1093,3127
"2813 43rd St, Des Moines, IA 50310",50310,Single Family Residence,1929,Forced Air Gas Natural Gas,Central Air,2,,6969,180,,584,7012,59,38,3127,4091
"209 N Lincoln St, New Sharon, IA 50207",50207,Single Family Residence,1910,Forced Air,Central Air,1,,21780,20,,85,1017,31,,,
"16 Benton Ave E, Albia, IA 52531",52531,Unimproved Land,,,,,,,,,82,982,69,124,,
"14 Red Maple Ct, Central City, IA 52214",52214,,,,,,,,,,,,0,,,
"220 N East St, Osceola, IA 50213",50213,Single Family Residence,1970,Forced Air Gas Natural Gas,Central Air,2,,16553,85,,457,5480,16,142,4091,2393
"506 Bezdek Dr NW, Cedar Rapids, IA 52405",52405,Single Family Residence,1991,Forced Air Gas,Central Air,2,,11761,156,,531,6372,26,105,2393,3336
"3920 76th St, Urbandale, IA 50322",50322,Single Family Residence,1968,Forced Air Gas Natural Gas,Central Air,2,,11761,143,,569,6831,62,34,3336,1022
"3012 S 14th St, Marshalltown, IA 50158",50158,Single Family Residence,1993,Forced Air,Central Air,2,,6534,79,,329,3950,0,79,1022,2496
"600 South Ave, Shenandoah, IA 51601",51601,Single Family Residence,1900,Fireplace(s) Forced Air,Central Air,1,,6969,35,,169,2027,41,156,,
"2412 Stanton Ave, Des Moines, IA 50321",50321,Single Family Residence,1954,Forced Air Gas Natural Gas,Central Air,2,,30492,311,,797,9562,50,67,2496,4091
"110 Circle Dr, Minden, IA 51553",51553,,,,,,,,,,,,0,,,
"705 E Main St, Montezuma, IA 50171",50171,Single Family Residence,1900,Forced Air,Central Air,2,,10018,77,,382,4587,52,,,
"5656 Brook View Ave, Des Moines, IA 50317",50317,Unimproved Land,,,,,,,,,134,1606,7,148,4091,4091
"103 N Elm St, Marcus, IA 51035",51035,Single Family Residence Residential,1903,Forced Air,Central Air,2,,8276,98,,312,3748,42,,,
"2806 Glen Oaks Dr, Cedar Falls, IA 50613",50613,Single Family Residence,2003,Forced Air Natural Gas,Ceiling Fan(s) Central Air,3,33,16117,142,,1190,14277,22,40,,
"22941 193rd Ave, Manchester, IA 52057",22941,Single Family Residence,1978,Forced Air Natural Gas,Window Unit(s),2,,26572,99,,397,4768,0,,,
"608 1st St NW, Bondurant, IA 50035",50035,Single Family Residence,2021,Forced Air Gas Natural Gas,Central Air,2,100,4356,194,,620,7441,9,64,,
"5529 Prairie Pkwy, Johnston, IA 50131",50131,Townhouse,2015,Forced Air Gas Natural Gas,Central Air,3,180,3484,237,,839,10072,12,12,4091,1198
"3207 Eastern Ave NE, Cedar Rapids, IA 52402",52402,Single Family Residence,1955,Forced Air Gas,Central Air,2,,6534,133,,338,4054,44,37,1198,3336
"7062 Crossing Ct, Bettendorf, IA 52722",52722,Single Family Residence,2020,Natural Gas Forced Air,,,,11761,251,,997,11969,0,4,3336,1282
"5684 Brook View Ave, Des Moines, IA 50317",50317,Unimproved Land,,,,,,,,,134,1606,7,148,1282,4091
"201 Sycamore St, Tipton, IA 52772",52772,Single Family Residence,1900,Forced Air Gas,Central Air,2,,,77,,372,4462,0,136,,
"23 Benton Ave E, Albia, IA 52531",52531,Unimproved Land,,,,,,,,,65,778,67,124,,
"616 S Boone St, Boone, IA 50036",50036,Single Family Residence,1955,Forced Air Gas Natural Gas,Central Air,2,,17860,127,,552,6630,34,123,4091,1133
"208 E 3rd St, Halbur, IA 51444",51444,Single Family Residence,1979,Forced Air,Central Air,2,,13939,54,,267,3200,9,,,
"10 Benton Ave E, Albia, IA 52531",52531,Unimproved Land,,,,,,,,,69,829,69,124,,
"19915 Mayfield Cir, Pacific Jct, IA 51561",19915,,,,,,,,,,,,1,,,
"246 Woodlawn Ct, Clinton, IA 52732",52732,Single Family Residence,1957,Natural Gas Forced Air Other Heating/Cooling,Central Air Other Heating/Cooling,,,26572,79,,616,7392,32,101,1133,3647
"130 E 29th Ct, Des Moines, IA 50317",50317,Single Family Residence,1949,Forced Air Gas Natural Gas,,,,6098,71,,178,2142,36,148,3647,4091
"218 South St, Waterloo, IA 50701",50701,,,,,,,,,,,,70,116,4091,2484
"300 5th St NW, Altoona, IA 50009",50009,Single Family Residence,1997,Forced Air Gas Natural Gas,,2,,8712,152,,573,6872,28,75,,
"432 Main St, Bennett, IA 52721",52721,Single Family Residence,1913,Forced Air Natural Gas,Ceiling Fan(s) Central Air Gas,3,,12197,83,,266,3188,15,,,
"118 S Elm St, Ottumwa, IA 52501",52501,Single Family Residence,1910,Forced Air,Central Air,2,,6534,38,,170,2037,38,36,2484,4120
"2210 Scott St, Davenport, IA 52803",52803,Single Family Residence,1916,Natural Gas Forced Air,Central Air,,,6000,87,,298,3570,54,46,4120,3827
"210 E Cheshire St, Birmingham, IA 52535",52535,Single Family Residence,1925,Forced Air,Central Air,1,,16117,56,,209,2512,7,,,
"2904 Neola St, Cedar Falls, IA 50613",50613,Single Family Residence,1951,Forced Air Natural Gas,Central Air,2,,9583,125,,574,6882,47,40,,
"10217 Powell Ave, Johnston, IA 50131",10217,Single Family Residence,2021,Forced Air Gas Natural Gas,Central Air,2,150,7405,210,,740,8879,6,,3827,1198
"767 NE Conner Ct, Waukee, IA 50263",50263,Townhouse,2018,Forced Air Gas Natural Gas,Central Air,2,130,1306,159,,467,5607,20,8,1198,759
"921 E Washington St, Winterset, IA 50273",50273,Single Family Residence,1979,Forced Air Gas,Central Air,,,8712,142,,468,5610,41,117,,
"6685 Panorama Dr, Panora, IA 50216",50216,Single Family Residence,1999,Forced Air Gas Natural Gas,Central Air,2,100,17424,188,,529,6350,2,,,
"11163 Westport Dr, West Des Moines, IA 50266",11163,Unimproved Land,,,,,,,,,204,2445,0,,,
"206 Augusta Dr, Treynor, IA 51575",51575,SINGLE_FAMILY,2021,Forced air Gas,Central,,,,245,,805,9664,7,,,
"113 Boston Ave SE, Orange City, IA 51041",51041,Single Family Residence Residential,1900,Forced Air,Central Air,1,,9147,138,,397,4768,75,20,,
"1511 S Virginia Ave, Mason City, IA 50401",50401,SINGLE_FAMILY,1955,Forced air,,2,,8184,131,,351,4208,17,149,759,2925
"2463 Glen Ellen Rd, Sioux City, IA 51106",51106,Townhouse Residential,2020,Forced Air,Central Air,2,58,6969,218,,627,7522,0,65,2925,3890
"1327 S 25th St, Fort Dodge, IA 50501",50501,,,,,,,,,,,,34,157,3890,3020
"308 W Ohio St, Lenox, IA 50851",50851,SINGLE_FAMILY,1920,Forced air Gas,Central,3,,10018,53,,340,4077,33,,,
"535 N Park Ave, Centerville, IA 52544",52544,Single Family Residence,1914,Forced Air,Central Air,,,4356,36,,57,688,67,,3020,2363
"22 E 3rd St, Earlville, IA 52041",52041,SINGLE FAMILY - DETACHED,1919,Forced Air,Central Air,1,,21780,96,,348,4182,24,79,,
"3237 4th Ave, Council Bluffs, IA 51501",51501,Single Family Residence,1956,Forced Air Electric Natural Gas,Central Air,1,,4791,69,,234,2805,51,120,2363,5845
"1108 NW Boulder Brook Dr, Ankeny, IA 50023",50023,Single Family Residence,2003,Forced Air Gas Natural Gas,Central Air,3,,14375,235,,722,8667,16,15,,
"1132 21st Ave SW, Cedar Rapids, IA 52404",52404,Single Family Residence,1912,Forced Air Gas,Central Air,,,5662,141,,227,2727,35,106,5845,3336
"2521 S Cecelia St, Sioux City, IA 51106",51106,Single Family Residence Residential,1959,Forced Air,Central Air,,,6534,126,,359,4310,36,65,3336,3890
"2610 Big Woods Rd, Cedar Falls, IA 50613",50613,Single Family Residence,1948,Forced Air Natural Gas Propane Leased,Ceiling Fan(s) Central Air,3,,18295,105,,361,4334,6,40,,
"2501 Iowa St, Columbus City, IA 52737",52737,Single Family Residence,1977,Forced Air Natural Gas,Ceiling Fan(s) Central Air Gas,2,,14810,93,,287,3442,0,,,
"1813 NW 8th St, Grimes, IA 50111",50111,Single Family Residence,2020,Forced Air Gas Natural Gas,Central Air,3,,14810,269,,677,8122,1,43,,
"180 Aspen Dr, Norwalk, IA 50211",50211,,,,,,,,,,,,14,59,3890,750
"11 Benton Ave E, Albia, IA 52531",52531,Unimproved Land,,,,,,,,,73,880,69,124,,
"3420 S Coral St, Sioux City, IA 51106",51106,Single Family Residence Residential,1977,Forced Air,Central Air,2,,10454,134,,489,5865,38,65,750,3890
"2121 Avenue I, Fort Madison, IA 52627",52627,Single Family Residence,1900,Forced Air,None,,,6969,18,,58,701,61,143,3890,1973
"4410 Phoenix St, Ames, IA 50014",50014,Single Family Residence,1970,Forced Air Gas Natural Gas,Central Air,1,,10018,238,,457,5482,0,52,1973,1716
"257 Camden Rd, Iowa City, IA 52245",52245,,,,,,,,,,,,16,27,1716,1618
"22615 Starview Dr, Dubuque, IA 52001",22615,SINGLE FAMILY - DETACHED,2004,Forced Air,Central Air,3,125,39640,128,,669,8032,0,,1618,1637
"119 SW Stonegate Dr, Ankeny, IA 50023",50023,Single Family Residence,2007,Forced Air Gas Natural Gas,Central Air,3,,11326,186,,1116,13388,6,15,,
"1 Newburg Rd, Grinnell, IA 50112",50112,Farm,,,,,,,,,,,0,63,1637,1789
"1016 W 15th St S, Newton, IA 50208",50208,Single Family Residence,2001,Forced Air Gas Natural Gas,Central Air,2,,11326,177,,691,8288,28,127,,
"657 Pine Ave, Norwalk, IA 50211",50211,,,,,,,,,,,,22,59,1789,750
"1306 Green St, Oskaloosa, IA 52577",52577,Single Family Residence,1979,Forced Air,Central Air,2,,10890,115,,211,2537,29,139,750,1787
"5205 Warren St, Davenport, IA 52806",52806,Single Family Residence,1968,Natural Gas Forced Air,Central Air,,,8276,99,,372,4460,44,99,1787,3827
"5680 Brook View Ave, Des Moines, IA 50317",50317,Unimproved Land,,,,,,,,,134,1606,7,148,3827,4091
"0 Newburg Rd, Grinnell, IA 50112",50112,Farm,,,,,,,,,,,82,63,4091,1789
"1109 6th Ave N, Humboldt, IA 50548",50548,Single Family Residence,1940,Forced Air,Central Air Window Unit(s),1,,13504,44,,116,1390,53,80,,
"2307 Marti Dr, Milford, IA 51351",51351,Single Family Residence,2004,Forced Air,Central Air,2,150,12632,155,,903,10835,0,106,,
"1011 W 9th St, Cedar Falls, IA 50613",50613,Single Family Residence,1949,Forced Air,Central Air,2,,6098,89,,457,5480,52,40,,
"929 S 12th Ave W, Newton, IA 50208",50208,Single Family Residence,1948,Forced Air,Central Air,2,,13504,70,,425,5097,23,127,,
"3421 Amherst St, Des Moines, IA 50313",50313,Single Family Residence,1912,Forced Air Gas Natural Gas,Central Air,2,,6534,167,,425,5100,72,154,1789,4091
"180 Crestview Dr, Burlington, IA 52601",52601,Single Family Residence,1968,Forced Air,Central Air,2,,6969,134,,297,3567,20,153,,
"5679 Brook View Ave, Des Moines, IA 50317",50317,Unimproved Land,,,,,,,,,138,1658,7,148,4091,4091
"4500 Carpenter Ave, Des Moines, IA 50311",50311,Single Family Residence,1917,Forced Air Gas Natural Gas,Central Air,1,,5662,144,,489,5862,55,60,4091,4091
"2311 Walton Rd, Fairfield, IA 52556",52556,Unimproved Land,,,,,41,,,,105,1262,4,72,,
"0 190th St, Dike, IA 50624",50624,Farm,,,,,,,,,,,0,,,
"522 E Elm St, Algona, IA 50511",50511,Single Family Residence,1947,Forced Air,Central Air,1,,5662,90,,255,3060,58,137,4091,554
"810 College Ave, Iowa Falls, IA 50126",50126,Single Family Residence,1898,Forced Air Gas Natural Gas,Central Air,1,,,74,,266,3188,68,133,554,1658
"6636 30th Avenue Dr, Shellsburg, IA 52332",52332,Single Family Residence,2019,Forced Air Gas,Central Air,,,827640,125,,1689,20272,3,,,
"200 NW 11th St, Grimes, IA 50111",50111,Single Family Residence,2002,Forced Air Gas Natural Gas,Central Air,3,,10890,215,,807,9687,23,43,,
"1406 NE Falstaff Ln, Ankeny, IA 50021",50021,Townhouse,2019,Electric Forced Air,Central Air,2,165,2613,203,,574,6885,5,24,,
"1001 N Market St, Oskaloosa, IA 52577",52577,Single Family Residence,1910,Forced Air,Central Air,2,,17860,43,,319,3822,49,139,1658,1787
"502 Pine Ave, Norwalk, IA 50211",50211,,,,,,,,,,,,24,59,1787,750
"W Spring St, Mc Gregor, IA 52157",52157,Unimproved Land,,,,,,,,,60,714,24,,,
"1436 46th St, Des Moines, IA 50311",50311,Single Family Residence,1920,Electric Forced Air Gas,Central Air,2,,6969,160,,521,6248,45,60,750,4091
"13227 Rocklyn Dr, Urbandale, IA 50323",13227,Single Family Residence,1998,Forced Air Gas Natural Gas,Central Air,3,,13068,179,,839,10070,16,,4091,1022
"420 1st St, Hull, IA 51239",51239,Single Family Residence Residential,1966,Forced Air Fireplace(s),Central Air,2,,21344,135,,584,7012,31,,,
"8218 Plum Dr, Urbandale, IA 50322",50322,Single Family Residence,1991,Forced Air Gas Natural Gas,Central Air,2,,9147,187,,669,8032,47,34,1022,1022
"1328 30th St, Bettendorf, IA 52722",52722,Single Family Residence,1956,Natural Gas Forced Air,Central Air,,,8040,186,,361,4332,14,4,1022,1282
"4518 84th St, Urbandale, IA 50322",50322,Single Family Residence,1980,Forced Air Gas Natural Gas,Central Air,2,,5662,209,,568,6821,60,34,1282,1022
"2458 E Porter Ave, Des Moines, IA 50320",50320,Single Family Residence,2008,Forced Air Gas Natural Gas,Central Air,2,,12197,224,,667,8007,3,145,1022,4091
"1257 Ravenwood Rd, Waterloo, IA 50702",50702,,,,,,,,,,,,31,134,4091,2484
"114 Railroad St, Norway, IA 52318",52318,Single Family Residence,1861,Forced Air Gas,Central Air,2,,6534,78,,276,3315,20,,,
"105 Foster Blvd, Iowa Falls, IA 50126",50126,Single Family Residence,1955,Forced Air,Central Air,1,,3920,67,,212,2547,0,133,2484,1658
"1005 N Linn St, Glenwood, IA 51534",51534,Single Family Residence,1960,Forced Air Gas Natural Gas,Central Air,2,,7405,74,,139,1672,24,92,1658,1222
"2023 Chautauqua Pkwy, Des Moines, IA 50314",50314,Single Family Residence,1940,Forced Air Gas Natural Gas,Central Air,1,,7840,190,,265,3185,32,113,1222,4091
"209 S 33rd St, West Des Moines, IA 50265",50265,Single Family Residence,1988,Forced Air Gas Natural Gas,Central Air,3,,23087,180,,1594,19125,26,34,,
"20 NE Gracewood Dr, Waukee, IA 50263",50263,Single Family Residence,2009,Forced Air Gas Natural Gas,Central Air,3,300,27007,267,,892,10707,26,8,4091,759
"8541 Gear Trl, Indianola, IA 50125",50125,Unimproved Land,,,,,,,,,2037,24439,0,76,759,1946
"3544 Eclipse Cir, Dubuque, IA 52003",52003,SINGLE FAMILY - DETACHED,2003,Forced Air,Central Air,2,,7500,135,,669,8032,15,46,1946,1637
"5675 Brook View Ave, Des Moines, IA 50317",50317,Unimproved Land,,,,,,,,,147,1760,7,148,1637,4091
"2314 NW North Creek Dr, Ankeny, IA 50023",50023,Single Family Residence,2021,Forced Air Gas Natural Gas,Central Air,3,120,11761,258,,773,9274,18,15,,
"2501 College Dr, Emmetsburg, IA 50536",50536,Single Family Residence,1969,Forced Air,Central Air,2,,22651,105,,552,6627,9,103,,
"304 S Ash St, New London, IA 52645",52645,Single Family Residence,1991,Forced Air,Central Air,1,,8712,139,,297,3567,35,,,
"5125 340th St NE, Iowa City, IA 52240",52240,Farm,1900,,,,,6828466,2099,,3997,47969,0,40,4091,1618
"303 3rd St, Ida Grove, IA 51445",51445,Single Family Residence Residential,1924,Forced Air,None,2,,5227,55,,149,1785,54,,,
"4516 Hickman Rd, Des Moines, IA 50310",50310,Single Family Residence,1938,Forced Air Gas Natural Gas,Central Air,,,10018,192,,319,3822,56,38,1618,4091
"2700 N Shore Dr, Clear Lake, IA 50428",50428,,,,,,,,,,,,4,58,4091,1747
"2010 2nd Ave N, Fort Dodge, IA 50501",50501,SINGLE_FAMILY,1947,Forced air Gas,Central,1,,5662,116,,201,2410,0,157,1747,3020
"150 El Camino Real, Monticello, IA 52310",52310,Single Family Residence,1970,Forced Air Gas,Central Air,2,,30928,66,,529,6350,0,91,,
"1812 NW Ashton Ln UNIT 4, Ankeny, IA 50023",50023,Townhouse,2000,Forced Air Gas Natural Gas,Central Air,2,150,5662,131,,393,4715,37,15,,
"2201 Hart Ave APT 5, Des Moines, IA 50320",50320,Townhouse,2004,Forced Air Gas Natural Gas,Central Air,1,147,,126,,297,3567,9,145,3020,4091
"715 N 2nd St, Cherokee, IA 51012",51012,Single Family Residence Residential,1889,Radiant,Central Air,1,,20038,47,,122,1466,67,93,,
"515 N 6th St, Osage, IA 50461",50461,Single Family Residence,1912,Forced Air,Central Air,2,,9888,79,,293,3519,52,144,,
"765 Glen Dr, Moville, IA 51039",51039,Single Family Residence Residential,1980,Forced Air,Central Air,2,,14810,103,,425,5097,24,,,
"422 S Davis St, Ottumwa, IA 52501",52501,Unimproved Land,,,,,,,,,64,765,30,36,4091,4120
"806 W 5th St, Storm Lake, IA 50588",50588,,,,,,,,,,,,62,90,4120,1620
"1812 Gibson St, Cedar Falls, IA 50613",50613,Single Family Residence,1955,Forced Air Natural Gas,Central Air,1,,6098,86,,319,3822,0,40,,
"269 E Williams St, Postville, IA 52162",52162,Single Family Residence,1937,Forced Air,Central Air,1,,6969,57,,175,2104,40,,,
"147 Northridge Dr, West Branch, IA 52358",52358,Townhouse Single Family Residence,1996,Natural Gas Forced Air,Central Air,2,,,145,,404,4842,43,,,
"4900 Alburnett Rd, Marion, IA 52302",52302,Single Family Residence,1971,Forced Air,Central Air,2,,148540,265,,1137,13640,2,33,1620,1278
"1106 NW Church St, Leon, IA 50144",50144,Single Family Residence,1987,Forced Air,Central Air,2,,20473,67,,382,4587,25,,,
"2203 Avery Ave, Norwalk, IA 50211",50211,Single Family Residence,1989,Electric Forced Air Natural Gas,Central Air,1,,8276,184,,372,4462,21,59,1278,750
"220 NE Eaglewood Dr, Ankeny, IA 50021",50021,Townhouse,1999,Forced Air Gas Natural Gas,Central Air,2,230,3484,192,,690,8285,33,24,,
"1600 Southview Cir, Fairfield, IA 52556",52556,Single Family Residence,1978,Forced Air,Central Air,1,,8712,22,,87,1038,8,72,,
"1725 Mondamin Ave, Des Moines, IA 50314",50314,Single Family Residence,1913,Forced Air Gas Natural Gas,Central Air,1,,6534,135,,303,3634,53,113,750,4091
"1535 SE Olson Dr, Waukee, IA 50263",50263,Single Family Residence,2002,Forced Air Gas Natural Gas,Central Air,2,,9147,199,,648,7778,0,8,4091,759
"202 N Linn St #305, Iowa City, IA 52245",52245,,,,,,,,,,,,92,27,759,1618
"3701 Pawnee Pl, Sioux City, IA 51104",51104,Single Family Residence Residential,1964,Forced Air Fireplace(s),Central Air,2,,9750,116,,515,6184,20,64,1618,3890
"5018 Montclair Dr NW, Cedar Rapids, IA 52405",52405,Single Family Residence,1964,Forced Air Gas,Central Air,1,,,117,,372,4462,17,105,3890,3336
"2821 200th St, Spirit Lake, IA 51360",51360,Single Family Residence,1920,Forced Air,Central Air,4,,34412,76,,372,4460,0,86,3336,1413
"427 S Tama St, Manchester, IA 52057",52057,Single Family Residence,1900,Forced Air Natural Gas,Central Air,1,,8712,75,,177,2129,55,95,,
"75 E Chestnut St, North Liberty, IA 52317",52317,Multi Family Single Family Residence,1971,Forced Air,Ceiling Fan(s) Central Air,2,,,105,,733,8798,45,14,1413,602
"2729 Farragut Pl, Davenport, IA 52804",52804,Single Family Residence,1958,Natural Gas Forced Air,Central Air,,,10136,108,,297,3567,26,137,602,3827
"5636 Brook View Ave, Des Moines, IA 50317",50317,Unimproved Land,,,,,,,,,140,1683,7,148,3827,4091
"304 Pennsylvania Ave, Story City, IA 50248",50248,SINGLE_FAMILY,1948,Forced air Gas,Central,2,,13939,132,,450,5406,43,41,,
"5449 Red Fox Rd, Bettendorf, IA 52722",52722,Single Family Residence,2003,Natural Gas Forced Air,Central Air,,100,6969,114,,637,7647,4,4,4091,1282
"427 4th Ave SE, Oelwein, IA 50662",50662,Single Family Residence,1941,Forced Air Natural Gas,Central Air,1,,6534,76,,162,1938,62,115,1282,1546
"809 Cherry St NW, Bondurant, IA 50035",50035,Townhouse,2021,Forced Air Gas Natural Gas,Central Air,2,120,3049,201,,499,5990,15,64,,
"3080 120th St, Van Meter, IA 50261",50261,Single Family Residence,1955,Gas Natural Gas,Central Air,4,,834610,323,,1137,13642,0,46,,
"1360 Harrison Dr, Clinton, IA 52732",52732,Single Family Residence,1900,Natural Gas Forced Air,Central Air,,,12197,49,,95,1145,27,101,1546,3647
"7 S 5th St, Eldridge, IA 52748",52748,Single Family Residence,2021,Natural Gas Forced Air,,,,8712,201,,512,6138,63,66,3647,602
"10016 Powell Ave, Johnston, IA 50131",10016,Single Family Residence,2021,Forced Air Gas Natural Gas,Central Air,3,150,7840,222,,815,9784,6,357,602,1198
"602 S 7th St, Mapleton, IA 51034",51034,SINGLE_FAMILY,1953,Forced air Gas,Other,,,7919,76,,170,2040,32,,,
"56744 260th Ave, Chariton, IA 50049",56744,Single Family Residence,2000,Forced Air,Central Air,2,,757944,206,,637,7647,0,,,
"2058 Sky View Dr, Marion, IA 52302",52302,Single Family Residence,1988,Forced Air Gas,Central Air,3,,49658,109,,1105,13257,4,33,1198,1278
"4139 Anna St, Iowa City, IA 52245",52245,Single Family Residence,2022,Forced Air Natural Gas,Ceiling Fan(s) Central Air Electric,2,,,164,,892,10707,14,27,1278,1618
"3685 37th Ave SW UNIT C, Cedar Rapids, IA 52404",52404,Townhouse,2005,Forced Air,Central Air,2,,172933,127,,446,5355,36,106,1618,3336
"229 Quince Rd, Walnut, IA 51577",51577,Single Family Residence,1900,Propane,,,,,,,0,0,0,,,
"1710 Forest Ave, Waterloo, IA 50702",50702,Single Family Residence,1938,Forced Air Natural Gas,Central Air,1,,6534,71,,254,3047,63,134,3336,2484
"1222 Drake Ave, Centerville, IA 52544",52544,Single Family Residence,1914,Forced Air,Central Air,2,,8276,58,,168,2014,39,,2484,2363
"205 1st Ave S, Humboldt, IA 50548",50548,Single Family Residence,1930,Forced Air,Window Unit(s),,,4356,64,,89,1071,63,80,,
"417 S Marion Ave, Washington, IA 52353",52353,Single Family Residence,1906,Forced Air,Central Air,,,6969,118,,276,3312,79,155,2363,1805
