address,zip,BuildingType,CalendarYear built,HeatingHeating,SnowflakeCooling,ParkingParking,HOAHOA,LotLot,Price Square FeetPrice/sqft,Rent,Mortgage fees per month,Mortgage fees per year,Walk Score,School Rank,Violent Crime,Property Crime
"2408 King Ave, Des Moines, IA 50320",50320,Single Family Residence,2004,Forced Air Gas Natural Gas,Central Air,2,,6969,170,,574,6882,23,145,1133,4091
"630 Roosevelt Blvd, Osceola, IA 50213",50213,Single Family Residence,1959,Forced Air,Central Air,,,10890,120,,319,3822,36,142,4091,2393
"1246 8th St, Manson, IA 50563",50563,SINGLE_FAMILY,1979,Forced air Gas,Central,1,,10890,108,,266,3188,41,,,
"10582 Rolling Hills Dr, Burlington, IA 52601",10582,,,,,,,,,,,,3,,,
"5328 Saint Andrews Cir, Des Moines, IA 50320",50320,Single Family Residence,2020,Forced Air Gas Natural Gas,Central Air,2,150,19602,228,,669,8032,4,145,2393,4091
"1115 Aldrich Ave, Boone, IA 50036",50036,,,,,,,,,,,,41,123,4091,1133
"317 SE 12th St, Ankeny, IA 50021",50021,Single Family Residence,1968,Forced Air Gas Natural Gas,Central Air,2,,10018,222,,539,6464,37,24,,
"9614 Grand Oaks Dr NE, Cedar Rapids, IA 52402",52402,Single Family Residence,2010,Central Forced Air,Central Air,2,,7405,149,,498,5980,7,37,1133,3336
"659 27th St, Des Moines, IA 50312",50312,Single Family Residence,1915,Forced Air Gas Natural Gas,Central Air,,,6534,207,,351,4208,69,58,3336,4091
"202 N Linn St #205, Iowa City, IA 52245",52245,,,,,,,,,,,,92,27,4091,1618
"1306 H Ave, Vinton, IA 52349",52349,Single Family Residence,1958,Forced Air Gas,Central Air,1,,8712,162,,340,4077,20,128,1618,631
"601 Dakota Ave, Tiffin, IA 52340",52340,,,,,,,,,,,,3,104,,
"1420 W 28th St, Sioux City, IA 51103",51103,Single Family Residence Residential,1952,Forced Air Fireplace(s),Central Air,4,,7405,143,,499,5992,65,150,631,3890
"8058 Crestview Dr, Des Moines, IA 50320",50320,Single Family Residence,1964,Forced Air Gas Natural Gas,Central Air,,,10890,124,,382,4590,5,145,3890,4091
"1410 Hamilton St SW, Cedar Rapids, IA 52404",52404,Single Family Residence,1890,Forced Air Gas,Wall/Window Unit(s),,,2613,77,,180,2155,65,106,4091,3336
"2 12th Ave, Dysart, IA 52224",52224,Farm,,,,,,,,,,,0,,,
